Region,Crop,Season,Soil_Type,Yield
Ahmednagar,"Jowar, Bajra, Groundnut, Wheat, Sugarcane, Cotton, Grapes","Kharif and Rabi","Greyish black to clayey soils","Medium"
Akola,"Cotton, Jowar, Bajra, Soybean, Tur","Kharif and Rabi","Deep black cotton soils (Vertisols)","Medium"
Amravati,"Cotton, Jowar, Tur, Wheat","Kharif and Rabi","Medium to deep black soils","Low"
Aurangabad,"Cotton, Jowar, Bajra, Safflower, Wheat","Kharif and Rabi","Medium to deep black soils","Low"
Beed,"Soybean, Pigeon Pea, Pearl Millet, Maize, Black Gram, Sorghum, Groundnut, Sunflower, Cotton, Sugarcane","Kharif and Rabi","Medium black soils","Low"
Bhandara,"Paddy, Soybean, Pigeonpea, Wheat, Gram, Summer Groundnut","Kharif and Rabi","Brown to red, slightly acidic soils","Medium‑Low"
Buldhana,"Bajra, Jowar, Wheat, Pulses, Cotton, Soybean, Sugarcane, Banana, Groundnut, Sunflower","Kharif and Rabi","Medium black soils","Low"
Chandrapur,"Paddy, Pulses, Oilseeds, Cotton","Kharif and Rabi","Brown to red, slightly acidic soils","Low"
Dhule,"Cotton, Bajra, Jowar, Groundnut, Maize, Soybean, Wheat, Gram","Kharif and Rabi","Greyish black soils","Low"
Gadchiroli,"Paddy, Soybean, Cotton, Jowar, Pulses, Oilseeds","Kharif and Rabi","Clayey, sandy loam, deep black, reddish/yellowish‑brown soils","Low"
Gondia,"Paddy, Pulses, Oilseeds","Kharif and Rabi","Brown to red, slightly acidic soils","Low"
Hingoli,"Jowar, Bajra, Cotton, Pulses","Kharif and Rabi","Medium black soils","Low"
Jalgaon,"Onion, Vegetables, Maize, Mustard, Small Millet, Soybean, Ginger, Wheat, Tur, Jowar, Bajra, Pulses, Oilseeds","Kharif and Rabi","Greyish black soils","Low"
Jalna,"Cotton, Jowar, Bajra, Safflower, Wheat","Kharif and Rabi","Medium black soils","Low"
Kolhapur,"Rice, Ragi, Jowar, Mango, Cashewnut, Jackfruit, Jamun","Kharif and Rabi","Light laterite & reddish brown acidic soils","High"
Latur,"Tur (Pigeon Pea), Jowar, Bajra, Soybean, Sunflower","Kharif and Rabi","Medium black soils","Low"
Mumbai City & Suburban,"Urban horticulture","N/A","Urban soils (minimal agri.)","N/A"
Nagpur,"Cotton, Jowar, Tur, Wheat","Kharif and Rabi","Medium to deep black soils","Low"
Nanded,"Cotton, Jowar, Bajra, Safflower, Wheat","Kharif and Rabi","Shallow to deep black soils, slightly/moderately alkaline","Low"
Nandurbar,"Jowar, Bajra, Groundnut, Wheat, Sugarcane","Kharif and Rabi","Greyish black soils","Very Low"
Nashik,"Jowar, Bajra, Groundnut, Wheat, Sugarcane, Grapes","Kharif and Rabi","Greyish black soils","Low"
Osmanabad,"Tur (Pigeon Pea), Urad, Soybean, Sunflower","Kharif and Rabi","Medium black soils","Low"
Palghar,"Rice, Banana, Chikoo","Kharif and Rabi","Coarse & shallow, rich in N, poor in K/K₂O","Not specified"
Parbhani,"Jowar, Bajra, Safflower, Cotton","Kharif and Rabi","Medium black soils","Low"
Pune,"Rice, Banana, Mango, Guava, Cashew, Grapes","Kharif and Rabi","Reddish brown to black, rich in N, poor in P/K₂O","Low"
Raigad,"Rice, Banana, Chikoo","Kharif and Rabi","Coarse & shallow, rich in N, poor in K/K₂O","High"
Ratnagiri,"Rice, Mango, Coconut, Arecanut, Cashewnut","Kharif and Rabi","Laterite, acidic & poor in N/K₂O","High"
